National,Province,District,Facility Name,Facility code
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Denhere Clinic,ZW070102
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Donjuan Clinic,ZW070525
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Donza Rural Health Centre,ZW070502
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Dorset Rural Health Centre,ZW070798
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Driefontein Mission TB Hospital,ZW07010C
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Exchange Clinic,ZW070526
Zimbabwe Ministry of Health,Midlands ,Gweru ,Five Maintenance Clinic,ZW070409
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Gaha Clinic,ZW070676
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Gaika Clinic,
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Gandavaroyi Clinic,ZW070212
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Gawa Clinic,ZW070315
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Globe and Phoenix Clinic,ZW070551
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Gokwe North District Hospital,ZW07020E
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Gokwe South District Hospital,ZW07030A
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Gokwe South Population Services Zimbabwe,ZW070351
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Gokwe South ZRP Camp Clinic,ZW070353
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Golden Quarry Mine Clinic,ZW070779
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Gomola Clinic,ZW070588
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Goredema Clinic,ZW070292
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Gudo Clinic,ZW070825
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Gumunyu Clinic,ZW070227
Zimbabwe Ministry of Health,Midlands ,Gweru ,Gunde Rural Health Centre,ZW070401
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Gundura Clinic,ZW070726
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Guramatunhu Clinic,ZW070106
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Gwanyika Rural Health Centre,ZW070301
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Gwanza Rural Health Centre,ZW070704
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Gwarawa Rural Health Centre,ZW070601
Zimbabwe Ministry of Health,Midlands ,Gweru ,Gweru City,
Zimbabwe Ministry of Health,Midlands ,Gweru ,Gweru District Hospital,ZW07040B
Zimbabwe Ministry of Health,Midlands ,Gweru ,Gweru Provincial Camp Clinic,
Zimbabwe Ministry of Health,Midlands ,Gweru ,Gweru Provincial Hospital,ZW07040A
Zimbabwe Ministry of Health,Midlands ,Gweru ,Gweru ZRP Clinic,ZW070416
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Hama Clinic,ZW070126
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Hanke Clinic,ZW070791
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Holy Cross Mission Hospital,ZW07010D
Zimbabwe Ministry of Health,Midlands ,Gweru ,Hozheri,ZW070494
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Huchu Clinic,ZW070316
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Imbahuru Clinic,ZW070632
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Ingezi Clinic,ZW070635
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Jahana Clinic,ZW070317
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Jeka Rural Hospital,ZW07060B
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Jena Mines Clinic,ZW070577
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Jiri,ZW070318
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Jobolinko Clinic,ZW070745
Zimbabwe Ministry of Health,Midlands ,Gweru ,Kabanga Rural Health Centre,ZW070402
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Kadzidirire Rural Health Centre,ZW070202
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Kahobo Clinic,ZW070229
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Kana Mission Hospital,ZW07030B
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Kotokwe Rural Health Centre,ZW070608
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Krima Clinic,ZW070319
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Kuwirirana Clinic,ZW070231
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Kwekwe General Hospital,ZW07050A
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Kwekwe ZRP Clinic,ZW070587
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Kwewe Polyclinic,ZW070576
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Lalapanzi Clinic,ZW070145
Zimbabwe Ministry of Health,Midlands ,Gweru ,Lower Gweru Clinic,ZW070491
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Lundi Rural Hospital,ZW07080B
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Lynwood Clinic,ZW070103
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Mabasa Clinic,ZW070826
Zimbabwe Ministry of Health,Midlands ,Gweru ,Maboleni Clinic,ZW070426
Zimbabwe Ministry of Health,Midlands ,Gweru ,Madikani Clinic,ZW070427
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Madzivazvido Rural Health Centre,ZW070203
Zimbabwe Ministry of Health,Midlands ,Gweru ,Makepesi Clinic,ZW070428
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Maketo Rural Health Centre,ZW070801
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Makusha Clinic,ZW070746
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Makuwerere Clinic,ZW070629
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Malisa Joshepha Clinic,ZW070527
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Malisa Zhombe Clinic,ZW070528
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Mandava Health Centre,ZW070802
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Mangidi Clinic,ZW070320
Zimbabwe Ministry of Health,Midlands ,Gweru ,Mangwandi Rural Health Centre,ZW070403
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Manoti Clinic,ZW070321
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Manyoni Clinic,ZW070341
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Mapanzure Clinic,ZW070827
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Mapiravana Clinic,ZW070128
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Marishongwe Rural Health Centre,ZW070705
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Masase Mission Hospital,ZW07060C
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Mashame Rural Health Centre,ZW070205
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Masuka Clinic,ZW070322
Zimbabwe Ministry of Health,Midlands ,Gweru ,Masvori Rural Health Centre,ZW070404
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Mataga Rural Health Centre,ZW070602
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Matedzi Clinic,ZW070630
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Mateme SDA Clinic,ZW070342
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Matenda Rural Health Centre,ZW070803
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Mateta Rural Health Centre,ZW070302
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Mavorovondo Rural Health Centre,ZW070603
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Mayoka Clinic,ZW070509
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Mazebe Rural Health Centre,ZW070503
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Mazibisa Clinic,ZW070727
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Mazivofa Clinic,ZW070631
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Mberengwa District Hospital,ZW07060A
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Mbizo I Clinic,
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Mbizo II Clinic,ZW070563
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Medpark Surgery Clinic,ZW070354
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Mhondongori Rural Health Centre,ZW070887
Zimbabwe Ministry of Health,Midlands ,Gweru ,Midlands State University Clinic,ZW070407
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Mimosa Clinic,ZW070877
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Mketi Clinic,ZW070633
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Mkoka Clinic,ZW070323
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Mlezu Clinic,ZW070553
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Mnene Mission Hospital,ZW07060D
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Mpinda Clinic,ZW070536
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Mponjani Clinic,ZW070638
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Mposi Clinic,ZW070639
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Mrowa Clinic,ZW070828
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Msala Clinic,ZW070324
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Msilahobe Rural Health Centre,ZW070504
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Mtambi Clinic,ZW070829
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Mtanke Clinic,ZW070343
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Munyati Clinic,ZW070585
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Murongwe Rural Health Centre,ZW070604
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Musadzi Rural Health Centre,ZW070204
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Musena Rural Health Centre,ZW070109
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Musita Clinic,ZW070325
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Musume Mission Hospital,ZW07060E
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Mutora Mission Hospital,ZW07020D
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Muvonde Mission Hospital,ZW07010E
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Mvuma District Hospital,ZW07010A
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Mwanezi Rural Health Centre,ZW070605
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Ndavambi Clinic,ZW070326
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Negove Clinic,ZW070634
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Neighbourhood Surgery,ZW070589
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Nenyunga Clinic,ZW070295
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Ngungumbane Clinic,ZW070636
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Nhema Clinic,ZW070728
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Njelele clinic,ZW070327
Zimbabwe Ministry of Health,Midlands ,Gweru ,Nkululeko Rural Health Centre,ZW070405
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Norah Rural Health Centre,ZW070207
Zimbabwe Ministry of Health,Midlands ,Gweru ,Ntabamhlope Rural Health Centre,ZW070406
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Ntabeni Clinic,ZW070529
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Nyaje Rural Health Centre,ZW070303
Zimbabwe Ministry of Health,Midlands ,Gweru ,Nyama Clinic,ZW070447
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Nyamhunga Clinic,ZW070328
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Nyautonge Rural Health Centre,ZW070104
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Nyikavanhu Clinic,ZW070105
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Nyoni Rural Health Centre,ZW070505
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Pakame Clinic,ZW070792
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,PSMAS clinic,
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Redcliff Clinic,ZW070559
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Rio Tinto Clinic,ZW070552
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Rockford Clinic,ZW070747
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Rubatsiro Clinic,ZW070298
Zimbabwe Ministry of Health,Midlands ,Gweru ,Rubi Clinic,ZW070423
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Rusike Rural Health Centre,ZW070706
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Rutendo Clinic,ZW070564
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Rutendo Polyclinic,ZW070879
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Sabi Mine Clinic,ZW070876
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Sai Clinic,ZW070329
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Samambwa Clinic,ZW070530
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Sandawana Clinic,ZW070678
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Sanyati Mine Clinic,
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Sebakwe Clinic,ZW070565
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Senkwazi Clinic,ZW070531
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Sessami Clinic,ZW070344
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Shabani Mine Hospital,ZW07080C
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Sherwood Clinic,ZW070566
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Shurugwi District Hospital,ZW07070A
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Sidakeni Clinic,ZW070532
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Sigezibubi Clinic,ZW070537
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Silobela District Hospital,ZW07050B
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Silobela Jackson Clinic,ZW070533
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Simana Clinic,ZW070534
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Simchembu Rural Health Centre,ZW070209
Zimbabwe Ministry of Health,Midlands ,Gweru ,Sino Zimbabwe Clinic,ZW070486
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Siyahokwe Clinic,ZW070127
Zimbabwe Ministry of Health,Midlands ,Gweru ,Somabhula Clinic,ZW070445
Zimbabwe Ministry of Health,Midlands ,Gweru ,St Patrick's Clinic,ZW070492
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,St Theresa Mission Hospital,ZW07010F
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Svika Rural Health Centre,ZW070709
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Svisvi Clinic,ZW070304
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Svita Clinic,ZW070637
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Tana Rural Health Centre,ZW070707
Zimbabwe Ministry of Health,Midlands ,Gweru ,Thornhill Airbase Hospital,
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Tiger Reef Clinic,ZW070584
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,Tokwe 4 Clinic,ZW070108
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Tokwe Clinic,ZW070748
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Tongogara Clinic,ZW070729
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Tongwe Clinic,ZW07030
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Topomazi Clinic,ZW070580
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Torwood Clinic,ZW070554
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Tsungai Rural Health Centre,ZW070210
Zimbabwe Ministry of Health,Midlands ,Gweru ,Tumbire Clinic,ZW070422
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Unki Clinic,ZW070780
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Vugwi Rural Health Centre,ZW070804
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Vukuzenzele Rural Health Centre,ZW070805
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Vumba Clinic,ZW070220
Zimbabwe Ministry of Health,Midlands ,Gweru ,Vungu Clinic,ZW070446
Zimbabwe Ministry of Health,Midlands ,Gweru ,Vungu District Mobile,ZW070448
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Vurasha Rural Health Centre,ZW070606
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Vutsanana Clinic,ZW070641
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,Wanezi Rural Health Centre,ZW070607
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Welezi Clinic,ZW070830
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,Zhamba Clinic,ZW070331
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Zhaugwe Rural Health Centre,ZW070710
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Zhomba Clinic,ZW070240
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Zhombe Mission Hospital,ZW07050C
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,Zibagwe Rural District Council Clinic,ZW070557
Zimbabwe Ministry of Health,Midlands ,Chirumhanzu ,ZIMASCO Private Clinic,ZW070151
Zimbabwe Ministry of Health,Midlands ,Gweru ,ZPS Connemara Prison Clinic,ZW070413
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,ZPS Gokwe Prison Clinic,ZW070352
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,ZPS Kwekwe Prison Clinic,ZW070590
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,ZPS Mberengwa Prison Clinic,ZW070680
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,ZPS Shurugwi Prison Clinic,ZW070776
Zimbabwe Ministry of Health,Midlands ,Gweru ,ZPS Thornhill Prison Clinic,ZW070417
Zimbabwe Ministry of Health,Midlands ,Gweru ,ZPS Whawha Prison Clinic,ZW070414
Zimbabwe Ministry of Health,Midlands ,Gweru ,ZPS Whawha Prison Young Offenders Clinic,ZW070415
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,ZPS Zvishavane Prison Clinic,ZW070880
Zimbabwe Ministry of Health,Midlands ,Gokwe South ,ZRP Gokwe Clinic,
Zimbabwe Ministry of Health,Midlands ,Kwekwe ,ZRP Kwekwe clinic,
Zimbabwe Ministry of Health,Midlands ,Gokwe North ,Zumba Clinic,ZW070211
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Zvamabande Rural Hospital,ZW07070B
Zimbabwe Ministry of Health,Midlands ,Shurugwi ,Zvarota Rural Health Centre,ZW070708
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Zvishavane District Hospital,ZW07080A
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Zvishavane Medical Centre,ZW070878
Zimbabwe Ministry of Health,Midlands ,Zvishavane ,Zvishavane ZRP Clinic,ZW070885
Zimbabwe Ministry of Health,Matabeleland North ,Bubi ,Balanda Clinic,ZW050227
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Bemba Clinic,ZW050627
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Binga District Hospital,ZW05010A
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Bubude Clinic,ZW050625
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,CBDS ZNFPC Clinic,ZW050339
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Chinego Rural Health Centre,ZW050106
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Chinotimba Clinic,ZW050325
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Chisuma RHC,ZW050301
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Chunga Rural Health Centre,ZW050101
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Dakamela Rural Hospital,ZW0505OB
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,Dandanda Rural Health Centre,ZW050402
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Dete NRZ Clinic,ZW050381
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Dete RHC,ZW050326
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Dinde RHC,ZW050327
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Dlamini Clinic,ZW050626
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,Dongamuzi Rural Health Centre,ZW050403
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Elephant Hills Clinic,ZW050384
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Empumalanga Clinic,ZW050334
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Falls Medical Center,ZW050394
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Fanisoni Clinic,ZW050525
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,Fatima Mission Clinic,ZW050491
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,Fingo Clinic,ZW050726
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,Gomoza Rural Health Centre,ZW050404
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Guwe Clinic,ZW050532
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,Gwaai Rural Health Centre,ZW050492
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Gwelutshena Clinic,ZW050533
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Hwange Colliery,
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Hwange Medical Center,
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Hwange NRZ Surgery Clinic,ZW050383
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,Igusi Rural Health Centre,ZW050703
Zimbabwe Ministry of Health,Matabeleland North ,Bubi ,Inyathi District Hospital,ZW05020A
Zimbabwe Ministry of Health,Matabeleland North ,Bubi ,Isabella Mine Clinic,ZW050256
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Jambezi RHC,ZW050302
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Jimila Clinic,ZWO5O628
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,Jotsholo Clinic,ZW050426
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Kamativi RHC,ZW050337
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,Kanyandavu Rural Health Centre,ZW050405
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Kanywambizi RHC,ZW050303
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Kapane Clinic,ZW050632
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Kariyangwe Mission Hospital,ZW05010C
Zimbabwe Ministry of Health,Matabeleland North ,Bubi ,Kenilworth Clinic,ZW050231
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,Lake-Alice Clinic,ZW050428
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Lubimbi Rural Health Centre,ZW050102
Zimbabwe Ministry of Health,Matabeleland North ,Bubi ,Lukala Rural Health Centre,ZW050201
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Lukosi Rural Hospital,ZW05030B
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Lukunguni Clinic,ZW050338
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,Lupaka Clinic,ZW050407
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,Lupane Mobile A,
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,Lupane Rural Health Centre,ZW050406
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,Lupane ZNFPC Clinic,
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Lupote Clinic,ZW050330
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Lusulu Rural Health Centre,ZW050103
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Lutsha Clinic,ZW050535
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Mabale Clinic,ZW050335
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Madlangombe Clinic,ZW050629
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Main Camp Clinic,ZW050377
Zimbabwe Ministry of Health,Matabeleland North ,Bubi ,Majiji Clinic,ZW050228
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Makhaza Rural Health Centre,ZW050603
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Mateme Rural Health Centre,ZW050502
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,Mbembesi Rural health Centre,ZW050733
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Mbuma Mission Hospital,ZW05050C
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Mbuma Mobile,
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,Mdlankuzi Clinic,ZW050427
Zimbabwe Ministry of Health,Matabeleland North ,Bubi ,Mdutshane Rural Health Centre,ZW050230
Zimbabwe Ministry of Health,Matabeleland North ,Bubi ,Membeswana Rural Health Centre,ZW050202
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Milonga Rural Health Center,ZW050328
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Mlagisa Rural Health Centre,ZW050604
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Mpanedziba Clinic,ZW050633
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Mtshayeli Rural Health Centre,ZW050605
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Muchesu Rural Health Centre,ZW050104
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Mwakandara Rural Health Centre,ZW050304
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Mwemba Rural Health Centre,ZW050305
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Ndlovu Clinic,ZW050332
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Nesigwe Clinic,ZW050526
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Ngwaladi Rural Health Centre,ZW050503
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Nkayi District Hospital,ZW05050A
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Nkayi Mobile,
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Nkunzi Clinic,
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,NRZ Inguminja Clinic,ZW050382
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,Ntabazinduna Clinic,ZW050729
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,Nyamandlovu District Hospital,ZW05070A
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,Nyamandlovu Mobile,
